DEBUG io.netty.util.internal.logging.InternalLoggerFactory - Using SLF4J as the default logging framework
DEBUG io.netty.channel.MultithreadEventLoopGroup - -Dio.netty.eventLoopThreads: 8
DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Buffer.address: available
DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.theUnsafe: available
DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.copyMemory: available
DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Bits.unaligned: true
DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.DirectByteBuffer.<init>(long, int): available
DEBUG io.netty.util.internal.Cleaner0 - java.nio.ByteBuffer.cleaner(): available
DEBUG io.netty.util.internal.PlatformDependent - Java version: 8
DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.noUnsafe: false
DEBUG io.netty.util.internal.PlatformDependent - sun.misc.Unsafe: available
DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.noJavassist: false
DEBUG io.netty.util.internal.PlatformDependent - Javassist: unavailable
DEBUG io.netty.util.internal.PlatformDependent - You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.bitMode: 64 (sun.arch.data.model)
DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.noPreferDirect: false
DEBUG io.netty.util.internal.PlatformDependent - io.netty.maxDirectMemory: 1840250880 bytes
DEBUG io.netty.channel.nio.NioEventLoop - -Dio.netty.noKeySetOptimization: false
DEBUG io.netty.channel.nio.NioEventLoop - -Dio.netty.selectorAutoRebuildThreshold: 512
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.numHeapArenas: 8
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.numDirectArenas: 8
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.pageSize: 8192
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.maxOrder: 11
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.chunkSize: 16777216
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.tinyCacheSize: 512
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.smallCacheSize: 256
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.normalCacheSize: 64
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
DEBUG io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.cacheTrimInterval: 8192
DEBUG io.netty.channel.DefaultChannelId - -Dio.netty.processId: 2274 (auto-detected)
DEBUG io.netty.util.NetUtil - Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
DEBUG io.netty.util.NetUtil - /proc/sys/net/core/somaxconn: 128
DEBUG io.netty.channel.DefaultChannelId - -Dio.netty.machineId: ec:f4:bb:ff:fe:4d:55:7e (auto-detected)
DEBUG io.netty.util.internal.ThreadLocalRandom - -Dio.netty.initialSeedUniquifier: 0x6471be389f5db3b9
DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.level: simple
DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.maxRecords: 4
DEBUG io.netty.buffer.ByteBufUtil - -Dio.netty.allocator.type: pooled
DEBUG io.netty.buffer.ByteBufUtil - -Dio.netty.threadLocalDirectBufferSize: 65536
DEBUG io.netty.buffer.ByteBufUtil - -Dio.netty.maxThreadLocalCharBufferSize: 16384
INFO io.reactivex.netty.server.AbstractServer - Rx server started at port: 8791
DEBUG io.netty.util.Recycler - -Dio.netty.recycler.maxCapacity: 32768
DEBUG io.netty.util.Recycler - -Dio.netty.recycler.maxSharedCapacityFactor: 2
DEBUG io.netty.util.Recycler - -Dio.netty.recycler.linkCapacity: 16
DEBUG io.netty.buffer.AbstractByteBuf - -Dio.netty.buffer.bytebuf.checkAccessible: true
DEBUG io.netty.util.ResourceLeakDetectorFactory - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@1a0b0e94
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
WARN org.apache.kafka.connect.socket.RxNettyTCPServer - ========================== Data chunked ===========================
